150 PA5-A-Debug-Answer.txt 6
  112.6678   50.3577   57.0493   46.8895  -58.5312  -22.1713
   -3.85    -0.55   -36.69        -3.85    -0.55   -36.69     0.000
   -8.11   -17.14    -7.05        -8.11   -17.14    -7.05     0.000
   -1.96    15.45     3.98        -1.96    15.45     3.98     0.000
    8.58    22.90    15.85         8.58    22.90    15.85     0.000
  -30.76     5.40   -37.93       -30.76     5.40   -37.93     0.000
   24.63    18.11    13.63        24.63    18.11    13.63     0.000
  -26.45    10.45   -29.74       -26.45    10.45   -29.74     0.000
   27.28    19.78    -9.83        27.28    19.78    -9.83     0.000
   24.17    22.16    -4.95        24.17    22.16    -4.95     0.000
  -28.07   -16.96   -47.13       -28.07   -16.96   -47.13     0.000
  -13.50   -23.90   -44.16       -13.50   -23.90   -44.16     0.000
  -42.94    -7.72   -23.62       -42.94    -7.72   -23.62     0.000
  -16.82    16.90    28.53       -16.82    16.90    28.53     0.000
   31.57   -11.98   -20.90        31.57   -11.98   -20.90     0.000
    7.07    -2.92   -23.28         7.07    -2.92   -23.28     0.000
   28.82     2.86    26.91        28.82     2.86    26.91     0.000
   31.59    -5.83   -27.30        31.59    -5.83   -27.30     0.000
   -8.39     8.26   -21.07        -8.39     8.26   -21.07     0.000
   -4.00   -20.88   -15.11        -4.00   -20.88   -15.11     0.000
   14.16     1.84   -21.04        14.16     1.84   -21.04     0.000
    0.28    -9.04    16.46         0.28    -9.04    16.46     0.000
   14.65    16.88    68.97        14.65    16.88    68.97     0.000
   27.68     6.72    29.69        27.68     6.72    29.69     0.000
  -20.48   -13.57   -48.28       -20.48   -13.57   -48.28     0.000
   -1.28    -7.80    27.60        -1.28    -7.80    27.60     0.000
  -18.94   -32.31   -21.79       -18.94   -32.31   -21.79     0.000
   25.08    -1.73    35.20        25.08    -1.73    35.20     0.000
  -13.19     6.55    12.06       -13.19     6.55    12.06     0.000
   33.22     0.32   -26.54        33.22     0.32   -26.54     0.000
   35.19    12.06    -9.69        35.19    12.06    -9.69     0.000
   -8.67   -18.46    -7.88        -8.67   -18.46    -7.88     0.000
   24.32    -4.93    18.22        24.32    -4.93    18.22     0.000
   -2.09    -8.00    25.75        -2.09    -8.00    25.75     0.000
    8.73    16.92   -14.29         8.73    16.92   -14.29     0.000
   40.22     6.22    -6.94        40.22     6.22    -6.94     0.000
   21.73   -14.00   -20.28        21.73   -14.00   -20.28     0.000
  -21.82    11.05   -31.91       -21.82    11.05   -31.91     0.000
   -3.00   -23.45   -26.14        -3.00   -23.45   -26.14     0.000
   20.53    14.39    51.10        20.53    14.39    51.10     0.000
  -30.69     3.66   -40.03       -30.69     3.66   -40.03     0.000
   32.69    16.34     1.69        32.69    16.34     1.69     0.000
   -6.80    -5.41    17.69        -6.80    -5.41    17.69     0.000
   20.76    15.32   -28.71        20.76    15.32   -28.71     0.000
    4.77    11.96    -8.35         4.77    11.96    -8.35     0.000
  -37.02   -23.29   -22.28       -37.02   -23.29   -22.28     0.000
   11.55    -4.42    19.80        11.55    -4.42    19.80     0.000
  -45.18   -10.87   -31.79       -45.18   -10.87   -31.79     0.000
  -26.18   -12.40    -6.35       -26.18   -12.40    -6.35     0.000
  -27.91   -14.38    -7.28       -27.91   -14.38    -7.28     0.000
  -29.88    -1.80   -44.97       -29.88    -1.80   -44.97     0.000
  -32.52    -0.58   -42.46       -32.52    -0.58   -42.46     0.000
   17.49   -13.24    -5.47        17.49   -13.24    -5.47     0.000
   14.40     6.62   -19.28        14.40     6.62   -19.28     0.000
   19.07    -3.30    59.36        19.07    -3.30    59.36     0.000
    0.35   -10.28   -34.92         0.35   -10.28   -34.92     0.000
   -4.08   -24.33   -31.10        -4.08   -24.33   -31.10     0.000
    6.05    17.35    -8.59         6.05    17.35    -8.59     0.000
   20.40   -11.50    -6.18        20.40   -11.50    -6.18     0.000
  -11.87    -3.57   -46.40       -11.87    -3.57   -46.40     0.000
   -8.71     3.47    64.32        -8.71     3.47    64.32     0.000
  -43.91   -14.83   -28.48       -43.91   -14.83   -28.48     0.000
  -35.20     5.64   -28.81       -35.20     5.64   -28.81     0.000
   37.60     0.14     6.42        37.60     0.14     6.42     0.000
   18.90    12.81   -30.39        18.90    12.81   -30.39     0.000
   -3.30    14.37     4.08        -3.30    14.37     4.08     0.000
   -1.05    16.23    51.81        -1.05    16.23    51.81     0.000
   35.05    -1.84   -22.10        35.05    -1.84   -22.10     0.000
   -3.51   -19.92   -14.06        -3.51   -19.92   -14.06     0.000
   18.15   -10.38    -1.12        18.15   -10.38    -1.12     0.000
  -33.06   -27.89   -28.92       -33.06   -27.89   -28.92     0.000
  -42.53   -18.91   -32.60       -42.53   -18.91   -32.60     0.000
   14.91    20.72    40.68        14.91    20.72    40.68     0.000
   26.17    -9.72    -4.74        26.17    -9.72    -4.74     0.000
  -36.47   -21.87   -18.17       -36.47   -21.87   -18.17     0.000
  -13.24    11.54    25.78       -13.24    11.54    25.78     0.000
  -44.13   -15.13   -35.63       -44.13   -15.13   -35.63     0.000
   -5.25    -6.93   -43.10        -5.25    -6.93   -43.10     0.000
  -33.72     1.33   -39.74       -33.72     1.33   -39.74     0.000
    4.21     6.66    69.55         4.21     6.66    69.55     0.000
    6.10    17.35    -8.67         6.10    17.35    -8.67     0.000
   11.60    19.18    54.02        11.60    19.18    54.02     0.000
   -6.49    15.24     8.09        -6.49    15.24     8.09     0.000
   22.80   -11.03    -7.10        22.80   -11.03    -7.10     0.000
   16.49   -10.93   -21.04        16.49   -10.93   -21.04     0.000
  -21.50   -31.28   -36.19       -21.50   -31.28   -36.19     0.000
   -6.83    11.99    40.01        -6.83    11.99    40.01     0.000
  -16.30   -30.18   -17.82       -16.30   -30.18   -17.82     0.000
   19.39    -4.15    41.06        19.39    -4.15    41.06     0.000
   32.49     9.80   -23.99        32.49     9.80   -23.99     0.000
    5.54    21.28    30.20         5.54    21.28    30.20     0.000
   37.04    -2.68     2.74        37.04    -2.68     2.74     0.000
  -26.89   -31.90   -28.23       -26.89   -31.90   -28.23     0.000
    8.67     7.74   -13.33         8.67     7.74   -13.33     0.000
   34.99    11.55   -11.43        34.99    11.55   -11.43     0.000
   11.67    -4.99    70.43        11.67    -4.99    70.43     0.000
    4.25    19.54     0.80         4.25    19.54     0.80     0.000
   35.96    -4.03     3.57        35.96    -4.03     3.57     0.000
    3.42    -3.53    44.24         3.42    -3.53    44.24     0.000
   -8.37     2.66    58.21        -8.37     2.66    58.21     0.000
   -7.21     8.47    62.03        -7.21     8.47    62.03     0.000
  -32.74     6.64   -32.27       -32.74     6.64   -32.27     0.000
    1.77    -4.83    33.84         1.77    -4.83    33.84     0.000
   35.70     7.70   -14.80        35.70     7.70   -14.80     0.000
    0.99    16.50     1.42         0.99    16.50     1.42     0.000
  -38.13    -3.19   -39.69       -38.13    -3.19   -39.69     0.000
   11.84    -6.02    69.56        11.84    -6.02    69.56     0.000
   18.98    -4.24    48.01        18.98    -4.24    48.01     0.000
  -14.04     8.68   -36.61       -14.04     8.68   -36.61     0.000
   -0.46   -13.62   -37.61        -0.46   -13.62   -37.61     0.000
   -8.97   -21.61   -10.90        -8.97   -21.61   -10.90     0.000
    9.11    17.08    67.73         9.11    17.08    67.73     0.000
   28.98     2.99   -31.96        28.98     2.99   -31.96     0.000
   20.15     2.18   -28.08        20.15     2.18   -28.08     0.000
  -25.36   -10.42    -7.01       -25.36   -10.42    -7.01     0.000
  -14.08     4.20     5.92       -14.08     4.20     5.92     0.000
  -11.69   -28.67   -19.13       -11.69   -28.67   -19.13     0.000
    0.52   -17.00   -29.73         0.52   -17.00   -29.73     0.000
   40.27     5.30    -0.47        40.27     5.30    -0.47     0.000
  -33.81     0.55   -40.53       -33.81     0.55   -40.53     0.000
    6.29     2.95   -18.78         6.29     2.95   -18.78     0.000
   21.46    22.53     7.03        21.46    22.53     7.03     0.000
   11.29    22.07    24.91        11.29    22.07    24.91     0.000
   10.93   -15.39    -8.15        10.93   -15.39    -8.15     0.000
    6.23    20.27    38.10         6.23    20.27    38.10     0.000
  -37.04    -0.83   -38.83       -37.04    -0.83   -38.83     0.000
   -9.50   -13.02    -2.02        -9.50   -13.02    -2.02     0.000
   10.14    21.04    -9.19        10.14    21.04    -9.19     0.000
  -28.41   -30.96   -33.00       -28.41   -30.96   -33.00     0.000
   -7.01   -15.30    -5.69        -7.01   -15.30    -5.69     0.000
    8.03    -4.62    52.09         8.03    -4.62    52.09     0.000
   -9.89   -18.59    -8.22        -9.89   -18.59    -8.22     0.000
  -44.47    -6.80   -36.84       -44.47    -6.80   -36.84     0.000
  -36.19    -0.16   -16.26       -36.19    -0.16   -16.26     0.000
   15.03    20.49    41.04        15.03    20.49    41.04     0.000
  -28.56   -13.13    -6.70       -28.56   -13.13    -6.70     0.000
   10.26   -12.73   -20.32        10.26   -12.73   -20.32     0.000
    1.27    14.86    -0.76         1.27    14.86    -0.76     0.000
   -4.92     4.26    70.20        -4.92     4.26    70.20     0.000
   -9.54     2.81    25.24        -9.54     2.81    25.24     0.000
   21.63    -2.83   -27.96        21.63    -2.83   -27.96     0.000
  -36.24   -21.51   -38.09       -36.24   -21.51   -38.09     0.000
   35.80     6.65     8.62        35.80     6.65     8.62     0.000
    2.14    18.12    48.82         2.14    18.12    48.82     0.000
   37.39    10.73     5.91        37.39    10.73     5.91     0.000
    7.82     6.80    68.95         7.82     6.80    68.95     0.000
   16.93    23.32   -10.39        16.93    23.32   -10.39     0.000
  -19.35    -7.93    -3.32       -19.35    -7.93    -3.32     0.000
   -4.24    11.48    68.19        -4.24    11.48    68.19     0.000
  -22.87   -24.92   -11.35       -22.87   -24.92   -11.35     0.000
    7.33    18.97    -8.16         7.33    18.97    -8.16     0.000
