150 PA5-C-Debug-Output.txt 6
  -31.3667  -21.8283  -21.4661  -38.2728  -92.8824   68.1890
   -2.33    -9.05    47.05        -2.33    -9.05    47.05     0.000
  -13.61    27.34    25.58       -13.61    27.34    25.58     0.000
  -11.13     1.39   -40.83       -11.13     1.39   -40.83     0.000
  -40.69   -17.89   -15.53       -40.69   -17.89   -15.53     0.000
   32.94    11.83    14.26        32.94    11.83    14.26     0.000
  -43.53    -8.84   -19.45       -43.53    -8.84   -19.45     0.000
  -36.23    -2.89   -37.30       -36.23    -2.89   -37.30     0.000
  -36.33   -18.63   -10.09       -36.33   -18.63   -10.09     0.000
   13.40   -16.12   -13.64        13.40   -16.12   -13.64     0.000
   36.87     5.28   -10.85        36.87     5.28   -10.85     0.000
   -8.33   -23.71   -11.73        -8.33   -23.71   -11.73     0.000
   -9.06    15.40    25.38        -9.06    15.40    25.38     0.000
    0.41    25.58    10.06         0.41    25.58    10.06     0.000
  -17.72     0.96   -44.28       -17.72     0.96   -44.28     0.000
   13.84    21.44    34.75        13.84    21.44    34.75     0.000
  -38.82    -0.64   -31.83       -38.82    -0.64   -31.83     0.000
  -10.52   -14.15     0.43       -10.52   -14.15     0.43     0.000
   -3.03    -4.10   -29.77        -3.03    -4.10   -29.77     0.000
   28.13    20.40    12.63        28.13    20.40    12.63     0.000
   38.66     3.46     9.34        38.66     3.46     9.34     0.000
  -30.87     6.21   -31.90       -30.87     6.21   -31.90     0.000
   19.85    18.62    38.76        19.85    18.62    38.76     0.000
  -37.01   -26.19   -21.49       -37.01   -26.19   -21.49     0.000
   -7.30    15.61    11.64        -7.30    15.61    11.64     0.000
   18.48    21.48    28.25        18.48    21.48    28.25     0.000
   36.14     0.94   -12.13        36.14     0.94   -12.13     0.000
   38.82    -0.57    -3.70        38.82    -0.57    -3.70     0.000
    3.71    23.78     2.65         3.71    23.78     2.65     0.000
    0.51    16.38    -2.00         0.51    16.38    -2.00     0.000
   -2.74    -6.51   -37.53        -2.74    -6.51   -37.53     0.000
    2.77   -10.11    52.10         2.77   -10.11    52.10     0.000
   -1.50     9.69   -16.85        -1.50     9.69   -16.85     0.000
    3.57    23.10    42.05         3.57    23.10    42.05     0.000
  -21.91   -12.64    -3.69       -21.91   -12.64    -3.69     0.000
    0.04     0.41   -23.79         0.04     0.41   -23.79     0.000
  -15.37   -30.17   -13.97       -15.37   -30.17   -13.97     0.000
   17.02     4.93   -27.62        17.02     4.93   -27.62     0.000
  -25.89   -23.13    -6.31       -25.89   -23.13    -6.31     0.000
  -26.03   -23.32    -6.39       -26.03   -23.32    -6.39     0.000
   -7.41    30.92    29.88        -7.41    30.92    29.88     0.000
  -22.41     4.93   -14.44       -22.41     4.93   -14.44     0.000
    4.70    20.70    49.01         4.70    20.70    49.01     0.000
    4.98    28.01    26.17         4.98    28.01    26.17     0.000
  -15.50     1.42   -43.03       -15.50     1.42   -43.03     0.000
   -5.54   -26.75   -16.60        -5.54   -26.75   -16.60     0.000
   32.67    -7.65    -1.31        32.67    -7.65    -1.31     0.000
   -2.97    -3.97   -29.43        -2.97    -3.97   -29.43     0.000
  -20.44    11.96   -26.42       -20.44    11.96   -26.42     0.000
    1.79    -9.94    45.28         1.79    -9.94    45.28     0.000
   31.97   -10.59   -13.14        31.97   -10.59   -13.14     0.000
   32.87    16.75   -12.78        32.87    16.75   -12.78     0.000
    6.24    23.03    -3.04         6.24    23.03    -3.04     0.000
  -29.46     5.35   -17.98       -29.46     5.35   -17.98     0.000
   19.24    -3.88    42.40        19.24    -3.88    42.40     0.000
   13.00    -2.08   -24.00        13.00    -2.08   -24.00     0.000
   28.85    21.41   -19.03        28.85    21.41   -19.03     0.000
   19.12    21.51    27.17        19.12    21.51    27.17     0.000
   -0.79   -13.63     8.08        -0.79   -13.63     8.08     0.000
   35.76    -3.82     2.31        35.76    -3.82     2.31     0.000
   18.44    -9.73     4.07        18.44    -9.73     4.07     0.000
  -29.20     0.11   -40.84       -29.20     0.11   -40.84     0.000
    1.99   -10.10    49.39         1.99   -10.10    49.39     0.000
    4.46    -9.82    49.33         4.46    -9.82    49.33     0.000
   -3.56    -4.05   -34.23        -3.56    -4.05   -34.23     0.000
  -14.55   -24.98    -8.34       -14.55   -24.98    -8.34     0.000
   15.99   -14.01    -4.93        15.99   -14.01    -4.93     0.000
   38.06     4.91    -8.31        38.06     4.91    -8.31     0.000
   -9.90    -5.19   -44.54        -9.90    -5.19   -44.54     0.000
    4.74    22.53    43.12         4.74    22.53    43.12     0.000
   -4.65    -6.97    37.05        -4.65    -6.97    37.05     0.000
